topic,is_correct_base,is_correct_unlearned,distance,n_questions,accuracy_delta
Polish phonology,0.8,0.8,90,5,0.0
Asymptomatic inflammatory prostatitis,0.8,0.8,80,5,0.0
Poison,1.0,1.0,7,5,0.0
Polio,1.0,1.0,61,95,0.0
Polarized 3D system,0.8,0.8,32,5,0.0
Polarization (waves),0.8,0.8,84,5,0.0
Pokémon doujinshi incident,0.8,0.8,70,5,0.0
Poisson–Boltzmann equation,1.0,1.0,36,5,0.0
Poisoned candy myths,0.6,0.6,25,5,0.0
Pleistocene human diet,1.0,1.0,20,5,0.0
Atomic gardening,0.6,0.6,73,5,0.0
Polyhexanide,0.6,0.6,101,10,0.0
Atopy,1.0,1.0,63,25,0.0
Place cell,1.0,1.0,23,5,0.0
Pizotifen,0.6,0.6,100,10,0.0
Attenuated total reflectance,0.8,0.8,20,5,0.0
Pivot element,0.8,0.8,89,10,0.0
Piscivore,0.8,0.8,25,5,0.0
Piracetam,1.0,1.0,71,5,0.0
Atypical teratoid rhabdoid tumor,0.6,0.6,95,10,0.0
Audio equipment,1.0,1.0,23,5,0.0
Pinus resinosa,0.6,0.6,45,5,0.0
Pingback,0.8,0.8,40,5,0.0
Ping-pong mechanism,0.6,0.6,0,5,0.0
Pimecrolimus,0.6,0.6,101,25,0.0
Pilot-operated relief valve,0.8,0.8,95,5,0.0
Pig slaughter,0.8,0.8,70,5,0.0
Piezoelectric sensor,1.0,1.0,96,5,0.0
Placentitis,0.6,0.6,86,10,0.0
Placentophagy,0.6,0.6,80,5,0.0
Atta (ant),0.8,0.8,70,5,0.0
Plantago,0.6,0.6,81,5,0.0
Plasmid vectors,0.75,0.75,0,4,0.0
Plasmid,0.6,0.6,30,220,0.0
Plasmacytoid dendritic cell,1.0,1.0,91,15,0.0
Plasma cell dyscrasias,1.0,1.0,58,5,0.0
Plasma cell,0.8,0.8,4,20,0.0
Plants of the World Online,0.6,0.6,67,5,0.0
Atropine,0.8,0.8,0,5,0.0
Plague of Cyprian,0.6,0.6,28,5,0.0
Plant taxonomy,0.6,0.6,49,5,0.0
Plant perception (physiology),0.6,0.6,100,10,0.0
Atropine poisoning,0.8,0.8,0,5,0.0
Plant breeding,0.6,0.6,75,10,0.0
Planning of the September 11 attacks,0.8,0.8,13,5,0.0
Planetary habitability in the Solar System,0.8,0.8,72,5,0.0
Astrocytes,1.0,1.0,0,3,0.0
Polymer fume fever,0.6,0.6,79,15,0.0
Paracellular transport,0.6,0.6,94,15,0.0
Predictive text,0.6,0.6,67,5,0.0
Program synthesis,0.6,0.6,59,20,0.0
Progenitor cell,0.6,0.6,66,5,0.0
Processor design,1.0,1.0,93,5,0.0
Probiotic,1.0,1.0,64,5,0.0
Ascaris lumbricoides,0.6,0.6,97,15,0.0
Prins reaction,0.8,0.8,61,5,0.0
Primary somatosensory cortex,0.8,0.8,59,10,0.0
Primary progressive aphasia,1.0,1.0,95,20,0.0
Primary motor cortex,0.8,0.8,70,5,0.0
Asherah pole,0.8,0.8,88,5,0.0
Pressure-sensitive tape,0.8,0.8,30,5,0.0
Pressure coefficient,0.8,0.8,24,5,0.0
Prenatal and perinatal psychology,0.8,0.8,96,5,0.0
Aspergillus niger,0.8,0.8,93,20,0.0
Premastication,0.6,0.6,6,5,0.0
Programmed cell death protein 1,1.0,1.0,33,20,0.0
Progressive myoclonus epilepsy,1.0,1.0,81,5,0.0
Arylcyclohexylamine,0.6,0.6,82,5,0.0
Proposed top-level domain,1.0,1.0,56,5,0.0
Protected designation of origin,1.0,1.0,47,5,0.0
Proteasome,0.6,0.6,88,25,0.0
Artificial saliva,1.0,1.0,74,10,0.0
Protease,1.0,1.0,1,15,0.0
Prostaglandin F receptor,0.6,0.6,72,25,0.0
Prostacyclin,0.8,0.8,73,5,0.0
Proper convex function,0.8,0.8,49,5,0.0
Project Gunrunner,0.6,0.6,18,5,0.0
Propellant,0.8,0.8,57,5,0.0
Proofs of trigonometric identities,1.0,1.0,79,5,0.0
Proofs of Fermat's little theorem,0.6,0.6,96,10,0.0
Prokaryote,0.8,0.8,25,20,0.0
Project network,0.8,0.8,77,5,0.0
Artificial tears,0.6,0.6,15,5,0.0
Prefix sum,1.0,1.0,66,10,0.0
Precision-guided munition,1.0,1.0,96,10,0.0
Astigmatism,1.0,1.0,25,5,0.0
Precipitation,0.8,0.8,57,5,0.0
Post correspondence problem,1.0,1.0,74,20,0.0
"Association for Molecular Pathology v. Myriad Genetics, Inc.",0.6,0.6,86,40,0.0
Positive and negative predictive values,0.6,0.6,93,5,0.0
Position (geometry),0.8,0.8,100,10,0.0
Associative array,1.0,1.0,76,20,0.0
Porphyra,0.8,0.8,98,5,0.0
Pork,0.6,0.6,93,10,0.0
Porin (protein),0.8,0.8,85,70,0.0
Assumption Greyhounds football,0.6,0.6,83,595,0.0
Popliteal pterygium syndrome,0.6,0.6,50,5,0.0
Popeye (missile),0.8,0.8,56,5,0.0
Polysaccharide,1.0,1.0,74,30,0.0
Polypodium hydriforme,0.8,0.8,92,15,0.0
Polyploidy,0.6,0.6,34,5,0.0
Polynucleotide,0.6,0.6,46,165,0.0
Post-translational modification,1.0,1.0,0,5,0.0
Posterior cingulate cortex,0.6,0.6,32,5,0.0
Posterior cortical atrophy,1.0,1.0,81,5,0.0
Powered air-purifying respirator,0.6,0.6,48,5,0.0
Precancerous condition,1.0,1.0,85,5,0.0
Pre-exposure prophylaxis for HIV prevention,1.0,1.0,14,5,0.0
Assembly theory,0.6,0.6,48,5,0.0
Pragmatic clinical trial,1.0,1.0,50,5,0.0
Pozzolanic activity,0.8,0.8,80,5,0.0
Assimilation (biology),0.8,0.8,88,10,0.0
Power (physics),0.6,0.6,85,5,0.0
Posterior pituitary,1.0,1.0,93,5,0.0
Potto,0.8,0.8,20,10,0.0
Potter sequence,0.8,0.8,52,5,0.0
Potentilla,0.6,0.6,7,5,0.0
Potential energy surface,1.0,1.0,50,5,0.0
Posthumous sperm retrieval,0.6,0.6,58,5,0.0
Posterior urethral valve,1.0,1.0,92,5,0.0
Picture superiority effect,0.8,0.8,68,20,0.0
Australian scrub python,0.6,0.6,96,5,0.0
Piciformes,0.6,0.6,86,45,0.0
PatchMatch,0.6,0.6,74,25,0.0
Penicillin,0.6,0.6,28,5,0.0
Pelecaniformes,0.6,0.6,75,5,0.0
Pegon script,0.6,0.6,96,5,0.0
Peerage law,1.0,1.0,77,5,0.0
Pedra Furada,0.6,0.6,47,5,0.0
Avachinsky,0.6,0.6,34,5,0.0
Pediculosis,1.0,1.0,98,5,0.0
Availability,1.0,1.0,49,5,0.0
Pectin lyase,0.6,0.6,93,5,0.0
Peak signal-to-noise ratio,0.6,0.6,21,5,0.0
Pathology,0.6,0.6,29,5,0.0
Avalon Code,0.6,0.6,28,5,0.0
Pathogenesis,0.6,0.6,15,20,0.0
Neutron transport,1.0,1.0,52,5,0.0
Aviation biofuel,1.0,1.0,78,5,0.0
Autosadism,0.8,0.8,36,5,0.0
Autopoiesis,0.8,0.8,57,5,0.0
Penile fracture,0.6,0.6,100,5,0.0
Per-unit system,0.8,0.8,89,5,0.0
Periodic fever syndrome,1.0,1.0,19,20,0.0
Automated airport weather station,1.0,1.0,39,5,0.0
Automatism (medicine),0.8,0.8,16,5,0.0
Perfluorinated compound,0.8,0.8,95,5,0.0
Autonomic dysreflexia,0.6,0.6,25,5,0.0
Perchlorate,0.8,0.8,36,5,0.0
Peptidoglycan glycosyltransferase,0.8,0.8,47,15,0.0
Penile frenulum,1.0,1.0,87,5,0.0
Peptide mass fingerprinting,1.0,1.0,88,165,0.0
Peptide,0.8,0.8,67,45,0.0
Peppered moth evolution,0.8,0.8,48,5,0.0
Pentraxins,1.0,1.0,78,35,0.0
Pentose phosphate pathway,0.8,0.8,80,5,0.0
Penile spines,0.8,0.8,59,5,0.0
Aviation transponder interrogation modes,0.6,0.6,2,5,0.0
Pastinaca sativa,0.6,0.6,58,5,0.0
Pichia,0.6,0.6,97,10,0.0
Axis of evil (cosmology),0.6,0.6,93,10,0.0
Parenthetical referencing,0.6,0.6,75,5,0.0
BMC Microbiology,0.6,0.6,35,5,0.0
BSON,0.6,0.6,27,45,0.0
Babesiosis,0.6,0.6,78,25,0.0
Babirusa,0.6,0.6,32,5,0.0
Parametric surface,0.8,0.8,91,5,0.0
Paramagnetic nuclear magnetic resonance spectroscopy,0.8,0.8,14,35,0.0
Bacillary dysentery,0.8,0.8,66,30,0.0
Parahippocampal gyrus,1.0,1.0,83,10,0.0
Bacilli,0.8,0.8,63,40,0.0
Bacillota,1.0,1.0,39,20,0.0
Paraformaldehyde,0.6,0.6,83,5,0.0
Bacillus amyloliquefaciens,1.0,1.0,6,10,0.0
Paracoccidioides brasiliensis,0.6,0.6,17,10,0.0
Paracetamol poisoning,1.0,1.0,17,5,0.0
BLU-80/B Bigeye bomb,0.6,0.6,29,5,0.0
BLAKE (hash function),1.0,1.0,50,10,0.0
Paroxysmal nocturnal dyspnoea,0.6,0.6,89,5,0.0
Paruresis,0.8,0.8,76,5,0.0
Axis–angle representation,0.6,0.6,30,10,0.0
Azobenzene,0.6,0.6,39,5,0.0
Pascal's rule,0.6,0.6,67,5,0.0
B,0.6,0.6,100,10,0.0
BASE (search engine),0.6,0.6,64,40,0.0
Parvoviridae,0.6,0.6,48,145,0.0
Partition type,0.6,0.6,37,25,0.0
Paroxysmal nocturnal hemoglobinuria,0.6,0.6,43,10,0.0
Partition function (statistical mechanics),1.0,1.0,59,5,0.0
Partition function (mathematics),1.0,1.0,52,15,0.0
Partition alignment,0.6,0.6,53,5,0.0
Particulates,1.0,1.0,58,15,0.0
Partial permutation,0.6,0.6,55,15,0.0
Parry–Romberg syndrome,0.8,0.8,47,5,0.0
Peripheral artery disease,0.8,0.8,97,5,0.0
Autoimmune polyendocrine syndrome type 1,0.6,0.6,25,15,0.0
Periplasmic expression,0.8,0.8,0,5,0.0
Peristalsis,0.8,0.8,95,10,0.0
Photoheterotroph,0.8,0.8,26,5,0.0
Photographic paper,0.6,0.6,77,5,0.0
Phosphorylation cascade,0.8,0.8,40,5,0.0
Phosphorus cycle,0.8,0.8,58,5,0.0
Phosphodiesterase inhibitor,1.0,1.0,20,5,0.0
Phosphodiester bond,0.6,0.6,22,20,0.0
Phosphine,0.6,0.6,62,15,0.0
Phosphazene,0.8,0.8,75,15,0.0
Phosgene oxime,0.6,0.6,72,10,0.0
Phormium tenax,1.0,1.0,58,5,0.0
Phonological history of Old English,0.6,0.6,55,5,0.0
Autism and memory,0.6,0.6,55,20,0.0
Phocaeicola vulgatus,0.6,0.6,13,50,0.0
Phloem,0.8,0.8,85,5,0.0
Philosophy of death,0.8,0.8,76,5,0.0
Photoredox catalysis,0.8,0.8,54,5,0.0
Photosynthesis,1.0,1.0,95,5,0.0
Photosystem,1.0,1.0,43,10,0.0
Phytochemical,0.6,0.6,85,10,0.0
Pi-stacking,0.6,0.6,54,5,0.0
Phytoremediation,1.0,1.0,0,5,0.0
Phytophotodermatitis,0.8,0.8,48,5,0.0
Phytolith,0.6,0.6,6,15,0.0
Phytohaemagglutinin,1.0,1.0,33,30,0.0
Phytogeography,0.8,0.8,48,5,0.0
Physostigmine,1.0,1.0,11,4,0.0
Phototoxin,1.0,1.0,74,5,0.0
Physostigma venenosum,1.0,1.0,98,5,0.0
Physical plant,0.8,0.8,54,5,0.0
Physical characteristics of the Buddha,0.6,0.6,92,5,0.0
Physarum polycephalum,0.8,0.8,72,5,0.0
Autism and LGBTQ identities,0.6,0.6,49,20,0.0
Phylogenetic nomenclature,0.8,0.8,87,5,0.0
Phillip Allen Sharp,0.8,0.8,38,20,0.0
Philippines men's national basketball team results,0.6,0.6,86,5,0.0
Phenotypic trait,1.0,1.0,57,5,0.0
Person of Indian Origin Card,0.6,0.6,93,435,0.0
Autoimmune autonomic ganglionopathy,0.6,0.6,67,5,0.0
Petasis reaction,0.6,0.6,41,15,0.0
Pesticide,1.0,1.0,50,40,0.0
Pest (organism),1.0,1.0,13,5,0.0
Perspiration,1.0,1.0,69,5,0.0
Perspective-n-Point,0.8,0.8,89,5,0.0
Persistent homology,0.8,0.8,50,15,0.0
Petrifaction,0.8,0.8,69,5,0.0
Autoimmune disease,0.8,0.8,47,5,0.0
Peroxisome proliferator-activated receptor,0.75,0.75,35,92,0.0
Peroxisome,0.6,0.6,42,15,0.0
Autoimmune hemolytic anemia,0.6,0.6,66,10,0.0
Permutation test,1.0,1.0,78,5,0.0
Periventricular leukomalacia,1.0,1.0,54,10,0.0
Petiole (botany),0.8,0.8,61,5,0.0
Petrified wood,1.0,1.0,16,5,0.0
Phenothrin,0.6,0.6,62,25,0.0
Pharynx,1.0,1.0,11,5,0.0
Phenatine,0.6,0.6,80,5,0.0
Phenacyl chloride,0.6,0.6,62,15,0.0
Phasianinae,0.75,0.75,41,4,0.0
Phasianidae,0.8,0.8,28,5,0.0
Phases of clinical research,0.8,0.8,46,5,0.0
Phaseolus coccineus,0.6,0.6,58,5,0.0
Pharyngeal jaw,0.6,0.6,62,5,0.0
Peutz–Jeghers syndrome,1.0,1.0,39,5,0.0
Pharmacology of ethanol,0.6,0.6,86,5,0.0
Pharmacodynamics,0.8,0.8,50,10,0.0
PharmacoEconomics,1.0,1.0,81,5,0.0
Phalaris (plant),0.8,0.8,87,10,0.0
Autistic catatonia,1.0,1.0,39,5,0.0
Autoantibody,1.0,1.0,101,25,0.0
Avar language,0.6,0.6,17,5,0.0
Negative pressure ventilator,1.0,1.0,86,5,0.0
Benzoylecgonine,0.6,0.6,33,5,0.0
Botrychium,0.8,0.8,20,10,0.0
Botorrita plaque,0.8,0.8,41,10,0.0
Makiivka military quarters shelling,0.6,0.6,58,35,0.0
Maitotoxin,0.6,0.6,1,40,0.0
Magnocellular neurosecretory cell,0.6,0.6,40,5,0.0
Magnetorquer,0.8,0.8,16,5,0.0
Magnetoresistive RAM,0.8,0.8,100,5,0.0
Magnetohydrodynamic drive,0.8,0.8,86,5,0.0
Magnetogenetics,0.6,0.6,30,15,0.0
Magnetic resonance imaging of the brain,0.6,0.6,6,5,0.0
Magnetic reluctance,1.0,1.0,19,5,0.0
Magnetic levitation,0.8,0.8,61,5,0.0
Magnetic dipole transition,0.6,0.6,95,5,0.0
Magnesium citrate,1.0,1.0,53,5,0.0
Botox,1.0,1.0,0,5,0.0
Madelung's deformity,0.6,0.6,100,5,0.0
Makuya,0.6,0.6,15,5,0.0
Malaria,0.8,0.8,42,135,0.0
Malaria in the River Thames,0.6,0.6,96,45,0.0
Malpighiales,0.6,0.6,65,50,0.0
Malware,0.6,0.6,77,5,0.0
Malvaceae,0.6,0.6,53,170,0.0
Malus sieversii,0.8,0.8,45,5,0.0
Maltodextrin,0.8,0.8,80,5,0.0
Malpolon monspessulanus,0.6,0.6,99,5,0.0
Malpighian tubule system,1.0,1.0,52,10,0.0
Mallotus japonicus,0.6,0.6,97,5,0.0
Malate dehydrogenase,0.8,0.8,63,15,0.0
Malignant rhabdoid tumour,1.0,1.0,93,15,0.0
Malignant peripheral nerve sheath tumor,0.6,0.6,52,5,0.0
Botanical name,0.8,0.8,29,5,0.0
Maleimide,0.6,0.6,71,15,0.0
Male accessory gland,1.0,1.0,15,5,0.0
Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+),0.6,0.6,79,60,0.0
Mad cow crisis,0.6,0.6,51,15,0.0
Macrolide,0.8,0.8,65,5,0.0
Medium-chain acyl-coenzyme A dehydrogenase deficiency,1.0,1.0,90,20,0.0
Macrogen,0.6,0.6,87,5,0.0
Brachycera,0.6,0.6,32,5,0.0
MPEG-1 Audio Layer II,0.6,0.6,97,5,0.0
MNIST database,0.6,0.6,96,25,0.0
MMR vaccine and autism,1.0,1.0,33,30,0.0
MLH1,0.6,0.6,63,35,0.0
Brachypelma smithi,0.6,0.6,65,10,0.0
Bradley–Terry model,1.0,1.0,78,10,0.0
MHC class II,0.8,0.8,96,175,0.0
ME1 (gene),0.8,0.8,44,10,0.0
MCherry,0.8,0.8,53,40,0.0
MBB Lampyridae,0.8,0.8,94,5,0.0
MAgPIE,0.6,0.6,82,10,0.0
MARC standards,0.6,0.6,87,5,0.0
MAPK/ERK pathway,0.6,0.6,2,10,0.0
MAP4,0.6,0.6,71,5,0.0
MRNA vaccine,0.6,0.6,5,40,0.0
MRPS22,0.6,0.6,37,30,0.0
Brachioradial pruritus,0.6,0.6,61,5,0.0
MYND zinc finger,0.6,0.6,83,10,0.0
Machine-readable medium and data,0.8,0.8,80,5,0.0
Machine translation software usability,1.0,1.0,98,5,0.0
Machine perfusion,0.8,0.8,84,10,0.0
Machine olfaction,1.0,1.0,48,50,0.0
Machine learning in bioinformatics,0.6,0.6,18,195,0.0
MZF1,0.8,0.8,14,5,0.0
MYH14,0.8,0.8,77,5,0.0
Boyce–Codd normal form,0.6,0.6,27,35,0.0
Botulinum toxin,0.8,0.8,0,5,0.0
MYC,0.6,0.6,77,80,0.0
MXD1,0.6,0.6,1,10,0.0
MTT assay,0.6,0.6,58,35,0.0
MTORC2,0.8,0.8,69,25,0.0
MTOR inhibitors,0.8,0.8,97,15,0.0
Boron monofluoride monoxide,0.6,0.6,81,5,0.0
Mamba (deep learning architecture),0.6,0.6,35,35,0.0
Mammal classification,0.6,0.6,61,5,0.0
Mammalian kidney,0.8,0.8,68,5,0.0
Matrix norm,0.8,0.8,76,5,0.0
Matrix (mathematics),0.8,0.8,86,5,0.0
Blocking (statistics),0.8,0.8,41,5,0.0
Mathematical model,1.0,1.0,65,5,0.0
Mathematical descriptions of the electromagnetic field,1.0,1.0,9,5,0.0
Matenadaran,0.8,0.8,45,5,0.0
Mastocytosis,1.0,1.0,94,10,0.0
Massive parallel sequencing,0.8,0.8,6,60,0.0
Massacre at the 11th Parallel,0.6,0.6,73,5,0.0
Massachusetts Institute of Technology Libraries,0.6,0.6,32,5,0.0
Mary of Scotland (1082–1116),0.8,0.8,63,345,0.0
Blood agent,0.8,0.8,10,10,0.0
Blood type diet,0.8,0.8,31,10,0.0
Martian regolith,0.6,0.6,93,5,0.0
Martian meteorite,0.6,0.6,90,5,0.0
Matrix similarity,1.0,1.0,94,10,0.0
Matsudaira Katamori,0.6,0.6,99,5,0.0
Block-matching and 3D filtering,0.8,0.8,97,5,0.0
Mechanical–electrical analogies,0.6,0.6,45,5,0.0
Medical torture,0.8,0.8,96,5,0.0
Medical genetics of Jews,0.6,0.6,75,40,0.0
Medical cybernetics,0.8,0.8,95,15,0.0
Mediastinum,0.8,0.8,95,5,0.0
Median lethal dose,0.8,0.8,43,10,0.0
Mechanosynthesis,0.6,0.6,34,30,0.0
Meatal stenosis,0.8,0.8,28,5,0.0
Blister agent,0.8,0.8,31,5,0.0
"Meal, Combat, Individual ration",0.6,0.6,55,5,0.0
Maze generation algorithm,0.8,0.8,79,5,0.0
Maximum operating depth,0.6,0.6,2,5,0.0
Bliss point (food),1.0,1.0,73,5,0.0
Maxam–Gilbert sequencing,0.6,0.6,90,20,0.0
Maurice Wilkins,0.8,0.8,44,5,0.0
Martian lava tube,0.6,0.6,65,5,0.0
Maroteaux–Lamy syndrome,0.8,0.8,46,15,0.0
Marmoset,0.8,0.8,51,5,0.0
Manifold alignment,1.0,1.0,50,15,0.0
MapInfo Interchange Format,0.6,0.6,81,5,0.0
Manuscript,0.6,0.6,77,5,0.0
Manufacturing bill of materials,0.6,0.6,98,5,0.0
Booknik,0.8,0.8,94,5,0.0
Bookworm (insect),0.6,0.6,26,5,0.0
Manifold hypothesis,0.8,0.8,94,15,0.0
Mani Jewel,0.6,0.6,46,5,0.0
Bone resorption,1.0,1.0,76,5,0.0
Manganese deficiency (plant),0.6,0.6,68,5,0.0
Manduca quinquemaculata,0.8,0.8,47,5,0.0
Manatee conservation,1.0,1.0,35,5,0.0
Management of dehydration,0.8,0.8,46,10,0.0
Management of HIV/AIDS,0.8,0.8,6,40,0.0
Management cybernetics,1.0,1.0,97,5,0.0
Bongkrek acid,0.6,0.6,55,20,0.0
Bolivian Mennonite gas-facilitated rapes,0.8,0.8,77,15,0.0
Markov logic network,1.0,1.0,83,5,0.0
Blue–white screen,1.0,1.0,20,310,0.0
Markov chain tree theorem,0.8,0.8,94,5,0.0
Markov chain mixing time,0.8,0.8,54,15,0.0
Markov chain central limit theorem,0.8,0.8,96,25,0.0
Mark Wainberg,0.8,0.8,47,10,0.0
Mark 16,0.8,0.8,98,5,0.0
Marinid sultanate,1.0,1.0,75,640,0.0
Marine Mucilage,0.8,0.8,63,5,0.0
Boids,1.0,1.0,53,5,0.0
Bocydium globulare,0.8,0.8,90,5,0.0
Marian Koshland,1.0,1.0,64,5,0.0
Body (biology),1.0,1.0,44,5,0.0
Bofors 40 Mk4,0.6,0.6,76,5,0.0
Marcus Gunn phenomenon,0.6,0.6,32,5,0.0
MarcEdit,0.6,0.6,19,10,0.0
Bradykinin,0.6,0.6,81,5,0.0
MALL,0.8,0.8,87,25,0.0
MACF1,0.6,0.6,84,40,0.0
Lobular carcinoma in situ,0.8,0.8,51,5,0.0
Bufo,1.0,1.0,26,10,0.0
Lists of drugs,0.8,0.8,88,40,0.0
Lists of downloadable PlayStation games,0.6,0.6,71,10,0.0
Lists of diseases,1.0,1.0,33,4,0.0
Lists of cultivars,1.0,1.0,94,10,0.0
Lists of airlines,0.8,0.8,88,10,0.0
Lists of air show accidents and incidents,0.6,0.6,9,30,0.0
Bufotenin,0.8,0.8,84,15,0.0
Lists of Knesset members,0.8,0.8,82,5,0.0
Bul (game),0.8,0.8,66,5,0.0
Bullet (software),0.6,0.6,95,5,0.0
Listeria,0.8,0.8,89,45,0.0
List update problem,0.8,0.8,57,50,0.0
List of years in science,0.8,0.8,32,485,0.0
Bulrush,0.6,0.6,68,5,0.0
Brucine,1.0,1.0,79,5,0.0
Lists of record labels,0.6,0.6,29,5,0.0
Lists of shapes,0.8,0.8,61,10,0.0
Litany of the Sacred Heart of Jesus,1.0,1.0,24,5,0.0
Loa loa filariasis,0.6,0.6,47,10,0.0
Lloyd's Open Form,0.8,0.8,68,5,0.0
Li–Fraumeni syndrome,1.0,1.0,67,5,0.0
Living medicine,0.6,0.6,55,10,0.0
Liver receptor homolog-1,0.6,0.6,65,5,0.0
Lithium toxicity,0.6,0.6,93,20,0.0
Lists of women,1.0,1.0,30,5,0.0
Lists of traffic collisions,0.8,0.8,13,5,0.0
Lists of websites,0.8,0.8,92,55,0.0
Lists of watercraft types,0.8,0.8,93,5,0.0
Lists of wars,0.8,0.8,29,20,0.0
Lists of villages in Nigeria,0.8,0.8,100,5,0.0
Lists of victims of the September 11 attacks,0.8,0.8,48,5,0.0
Dexchlorpheniramine,0.6,0.6,35,5,0.0
List of years in anthropology,0.8,0.8,14,180,0.0
List of years in anime,1.0,1.0,78,10,0.0
List of writing systems,0.8,0.8,58,5,0.0
List of traditional card and tile packs,0.8,0.8,48,5,0.0
List of types of malnutrition,1.0,1.0,37,5,0.0
List of types of XML schemas,1.0,1.0,40,25,0.0
List of two-dimensional geometric shapes,0.8,0.8,50,5,0.0
Bursitis,0.8,0.8,66,5,0.0
List of trees of Great Britain and Ireland,0.8,0.8,99,5,0.0
List of trance genres,0.8,0.8,29,15,0.0
List of topics characterized as pseudoscience,1.0,1.0,27,10,0.0
List of unproven and disproven cancer treatments,0.6,0.6,3,5,0.0
List of threatened species of the Philippines,0.6,0.6,71,5,0.0
List of thermal conductivities,0.6,0.6,79,5,0.0
List of therapeutic monoclonal antibodies,0.6,0.6,34,10,0.0
List of the United States Army weapons by supply catalog designation,0.8,0.8,30,15,0.0
List of the Mesozoic life of Texas,1.0,1.0,38,10,0.0
List of text mining software,0.8,0.8,33,45,0.0
List of types of numbers,1.0,1.0,11,120,0.0
List of unsaturated fatty acids,0.6,0.6,69,50,0.0
Bungarus,0.8,0.8,5,5,0.0
List of video games based on tabletop games,0.6,0.6,32,10,0.0
List of wild pigeon species,0.6,0.6,50,5,0.0
List of weapons of mass destruction by country,0.8,0.8,15,5,0.0
List of weapon systems of the South African Air Force,0.6,0.6,72,10,0.0
List of wax figures displayed at Madame Tussauds museums,0.8,0.8,51,5,0.0
Burkholderia mallei,0.8,0.8,0,5,0.0
List of viverrids,0.6,0.6,31,5,0.0
List of victims of the September 11 attacks (O–Z),0.6,0.6,16,15,0.0
Burping,1.0,1.0,24,5,0.0
List of victims of the September 11 attacks (H–N),0.6,0.6,17,5,0.0
List of victims of the September 11 attacks (A–G),0.8,0.8,45,20,0.0
List of venomous animals,1.0,1.0,38,15,0.0
List of vehicles of the Royal Malaysian Police,0.8,0.8,89,5,0.0
List of valid argument forms,0.8,0.8,95,20,0.0
List of urban rail systems in Japan,0.6,0.6,50,5,0.0
Lobodontini,0.6,0.6,74,5,0.0
Brown adipose tissue,0.8,0.8,94,10,0.0
MA plot,0.8,0.8,65,25,0.0
Brown (racial classification),0.6,0.6,42,10,0.0
Broadcast storm,0.8,0.8,11,5,0.0
Lymphoblast,0.8,0.8,18,15,0.0
Lymphedema,1.0,1.0,92,10,0.0
Lymphatic malformations,0.6,0.6,17,10,0.0
Lymphangitis,0.8,0.8,70,15,0.0
Lymphadenopathy,0.8,0.8,61,5,0.0
Lyme disease,0.6,0.6,72,100,0.0
Lygosoma,1.0,1.0,62,5,0.0
Lycoris (plant),0.8,0.8,86,30,0.0
Lycopodium powder,0.6,0.6,62,5,0.0
Lycogala epidendrum,0.8,0.8,21,5,0.0
Lutetium–yttrium oxyorthosilicate,0.6,0.6,35,5,0.0
Bromadiolone,0.8,0.8,76,5,0.0
Lung (Tibetan Buddhism),0.6,0.6,49,5,0.0
Lunar Terrain Vehicle,0.6,0.6,40,5,0.0
Briggs–Rauscher reaction,0.6,0.6,51,5,0.0
Brevibacterium linens,0.8,0.8,39,5,0.0
Lymphoid leukemia,0.6,0.6,84,5,0.0
Lysosome,0.6666666666666666,0.6666666666666666,90,12,0.0
M981 FISTV,0.6,0.6,66,5,0.0
Brahmastra,0.6,0.6,86,5,0.0
Brain asymmetry,0.6,0.6,50,5,0.0
Léonin,0.6,0.6,92,5,0.0
Brain implant,1.0,1.0,44,5,0.0
Lysozyme,0.8,0.8,91,60,0.0
Lysophosphatidic acid,0.8,0.8,66,5,0.0
Lymphotoxin alpha,0.8,0.8,82,215,0.0
Lysogenic cycle,0.8,0.8,0,5,0.0
Lysobacter,0.6,0.6,10,140,0.0
Breast cancer screening,0.6,0.6,56,5,0.0
Lysis buffer,1.0,1.0,96,80,0.0
Breathing gas,0.6,0.6,8,10,0.0
Breve,0.8,0.8,84,5,0.0
Bromazolam,0.8,0.8,86,5,0.0
Bromethalin,0.8,0.8,60,35,0.0
Lulav,0.6,0.6,23,5,0.0
Long-term impact of alcohol on the brain,0.8,0.8,29,5,0.0
Bronchoconstriction,0.8,0.8,100,5,0.0
Lopez de Bertodano Formation,0.6,0.6,53,5,0.0
Loop variant,0.8,0.8,18,25,0.0
Loop invariant,1.0,1.0,68,5,0.0
Longest repeated substring problem,0.8,0.8,65,5,0.0
Bronchospasm,1.0,1.0,65,5,0.0
Long Range Discrimination Radar,0.6,0.6,55,5,0.0
Loss function,1.0,1.0,13,5,0.0
Lonafarnib,0.6,0.6,46,5,0.0
Logical Volume Manager (Linux),0.6,0.6,64,5,0.0
Locus (genetics),0.8,0.8,82,20,0.0
Lockheed EC-130H Compass Call,0.6,0.6,63,5,0.0
Lockheed EC-130,0.8,0.8,37,5,0.0
Locate (Unix),0.6,0.6,56,15,0.0
Lorpiprazole,0.6,0.6,19,5,0.0
Loss functions for classification,1.0,1.0,6,5,0.0
Luhansk Oblast campaign,1.0,1.0,30,5,0.0
Low-molecular-weight chromium-binding substance,0.6,0.6,15,210,0.0
Ludwig Hahn,0.6,0.6,60,5,0.0
Ludvig Hektoen,0.8,0.8,51,5,0.0
